,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cabo san lucas,20,MX,1555786888,57,22.89,-109.91,307.04,6.7
1,butaritari,100,KI,1555787564,79,3.07,172.79,301.107,6.57
3,esperance,75,TT,1555786891,62,10.24,-61.45,304.82,7.7
4,saskylakh,83,RU,1555787300,95,71.97,114.09,260.307,1.8
5,khatanga,63,RU,1555787564,92,71.98,102.47,252.507,3.71
6,port elizabeth,1,US,1555787557,43,39.31,-74.98,297.04,5.1
7,iqaluit,20,CA,1555787562,71,63.75,-68.52,259.15,8.7
8,new norfolk,0,AU,1555787536,87,-42.78,147.06,291.48,2.1
9,mar del plata,0,AR,1555787565,30,-46.43,-67.52,292.607,5.91
10,clyde river,75,CA,1555783200,77,70.47,-68.59,255.15,10.3
11,kaitangata,64,NZ,1555787478,83,-46.28,169.85,284.26,1.79
12,sambava,70,MG,1555787565,97,-14.27,50.17,295.707,1.19
13,provideniya,13,RU,1555787565,78,64.42,-173.23,257.507,1.9
14,paita,0,PE,1555783200,290,-5.09,-81.11,290.15,5.7
15,bredasdorp,13,ZA,1555786861,72,-34.53,20.04,290.15,1.5
16,kavieng,80,PG,1555787566,76,-2.57,150.8,301.007,1.29
17,sao filipe,2,CV,1555787293,80,14.9,-24.5,295.207,7.91
18,albany,90,US,1555787462,73,42.65,-73.75,294.15,5.7
19,qaanaaq,57,GL,1555787567,83,77.48,-69.36,250.807,1.65
20,lagoa,0,PT,1555787543,55,37.14,-8.45,292.59,3.1
21,avarua,1,CK,1555785000,64,-21.21,-159.78,296.15,1.5
22,xichang,49,CN,1555787568,76,27.88,102.25,283.207,1.9
23,mahebourg,75,MU,1555787344,83,-20.41,57.7,299.15,5.7
24,ponta do sol,0,BR,1555787568,56,-20.63,-46,298.607,2.71
25,plettenberg bay,4,ZA,1555787568,88,-34.05,23.37,287.307,1.31
26,asheville,90,US,1555787311,87,35.6,-82.55,284.26,4.1
27,grindavik,75,IS,1555785000,87,63.84,-22.43,280.93,11.8
28,pahrump,1,US,1555787134,16,36.21,-115.98,302.04,9.3
29,itai,6,BR,1555787485,56,-23.42,-49.09,301.007,2.25
30,port alfred,1,ZA,1555787535,87,-33.59,26.89,290.37,3.13
31,mayumba,100,GA,1555787569,83,-3.44,10.65,301.207,4.58
32,busselton,14,AU,1555787534,66,-33.64,115.35,278.15,3.29
33,geraldton,75,CA,1555785060,37,49.72,-86.95,284.15,7.2
34,barrow,2,AR,1555787293,49,-38.31,-60.23,291.207,5.11
35,nikolskoye,40,RU,1555787507,65,59.7,30.79,278.15,2
36,ushuaia,90,AR,1555783200,100,-54.81,-68.31,279.15,11.3
37,saint george,40,GR,1555787006,81,39.45,22.34,285.37,4.1
38,hithadhoo,100,MV,1555787571,80,-0.6,73.08,302.507,6.22
39,teguldet,46,RU,1555787571,89,57.31,88.17,269.607,2.21
40,guerrero negro,3,MX,1555787571,91,27.97,-114.04,287.907,6.35
41,sangmelima,97,CM,1555787571,97,2.93,11.98,293.607,0.81
42,boca do acre,91,BR,1555787571,88,-8.76,-67.39,302.007,1.45
43,rikitea,19,PF,1555787571,82,-23.12,-134.97,299.007,7.6
44,vaini,8,IN,1555787572,71,15.34,74.49,298.107,1.09
45,athabasca,17,CA,1555787572,37,54.72,-113.29,281.907,5.87
46,rocha,5,UY,1555787572,49,-34.48,-54.34,293.507,4.46
47,hasaki,75,JP,1555787483,87,35.73,140.83,286.15,3.1
48,cape town,20,ZA,1555787164,77,-33.93,18.42,289.82,5.1
49,jieshi,27,CN,1555787344,10,22.82,115.83,294.82,0.71
50,tuktoyaktuk,90,CA,1555783200,85,69.44,-133.03,266.15,4.1
51,eenhana,69,NA,1555783200,28,-17.48,16.34,303.15,2.1
52,mount gambier,90,AU,1555783560,46,-37.83,140.78,295.15,10.8
53,puerto ayora,40,EC,1555786904,70,-0.74,-90.35,303.15,4.6
56,vestmannaeyjar,75,IS,1555783200,87,63.44,-20.27,279.15,10.3
57,sitka,0,US,1555786859,25,37.17,-99.65,302.04,9.39
58,hermanus,25,ZA,1555786861,95,-34.42,19.24,289.26,2.85
59,dunda,30,IN,1555787575,65,30.62,78.32,290.307,2.3
60,apac,67,UG,1555787575,62,1.98,32.53,297.007,1.96
61,meadow lake,20,CA,1555783200,28,54.13,-108.44,286.15,9.3
62,yate,0,GB,1555787569,52,51.54,-2.41,294.26,3.1
63,general roca,0,AR,1555783200,25,-39.03,-67.58,296.15,3.1
64,staryy nadym,63,RU,1555787576,92,65.61,72.68,259.807,2.3
65,thompson,40,CA,1555783200,63,55.74,-97.86,272.15,5.7
66,goundam,0,ML,1555787576,8,16.42,-3.66,312.007,1.58
67,jamestown,100,AU,1555787577,79,-33.21,138.6,289.907,4.5
68,curitibanos,100,BR,1555787577,85,-27.29,-50.58,294.507,2.2
69,caravelas,1,BR,1555787577,65,-17.73,-39.27,303.107,3.13
70,malartic,75,CA,1555783200,39,48.14,-78.13,284.15,4.6
71,anupgarh,0,IN,1555787578,22,29.19,73.21,304.707,1.84
72,tiksi,70,RU,1555787578,94,71.64,128.87,260.207,3.93
73,castro,75,CL,1555783200,76,-42.48,-73.76,284.15,3.1
74,sudak,71,UA,1555787579,76,44.85,34.97,275.807,3.66
75,atbasar,28,KZ,1555787579,53,51.81,68.36,275.107,2.61
76,punta arenas,0,CL,1555786990,62,-53.16,-70.91,285.15,16.5
77,jardim,0,BR,1555787579,50,-21.48,-56.15,305.907,3.18
78,hobart,0,AU,1555786822,87,-42.88,147.33,291.48,2.1
79,ubinskoye,18,RU,1555787580,61,55.31,79.68,274.807,3.4
81,puerto colombia,40,CO,1555783200,59,10.99,-74.96,307.15,6.2
82,ayan,80,TR,1555787580,94,40.67,33.6,269.507,2.84
83,severo-kurilsk,81,RU,1555787581,82,50.68,156.12,274.507,6.68
84,grand gaube,75,MU,1555787344,83,-20.01,57.66,299.15,5.7
85,half moon bay,90,US,1555787550,82,37.46,-122.43,289.82,8.2
86,kapaa,75,US,1555787019,69,22.08,-159.32,298.15,8.2
87,antalaha,50,MG,1555787581,99,-14.9,50.28,294.207,1.1
88,santiago del estero,27,AR,1555787335,68,-27.8,-64.26,301.707,4.93
89,mudigere,32,IN,1555787582,85,13.13,75.64,295.407,0.09
90,tucurui,100,BR,1555787582,58,-3.77,-49.67,305.407,1.22
91,gazanjyk,88,TM,1555787582,61,39.24,55.52,283.407,1.12
92,kandrian,85,PG,1555787583,92,-6.21,149.55,296.307,0.87
93,novikovo,71,UA,1555787583,76,45.05,34.56,275.807,3.66
94,duleek,0,IE,1555787567,59,53.66,-6.41,292.15,1.5
95,kostino,75,BG,1555786817,75,41.7,25.3,284.26,2.6
96,tombouctou,0,ML,1555787584,7,16.77,-3.01,311.607,1.64
97,cidreira,100,BR,1555787584,48,-30.17,-50.22,300.107,2.91
98,mataura,0,NZ,1555787294,97,-46.19,168.86,281.207,0.34
99,roald,75,NO,1555787403,76,62.58,6.12,287.15,10.3
101,marathon,90,CA,1555783200,34,48.72,-86.38,282.15,5.7
102,chuy,45,UY,1555787585,64,-33.69,-53.46,293.007,6.32
103,songjianghe,86,CN,1555787585,93,42.18,127.48,275.107,1.46
104,dickinson,1,US,1555787113,39,46.88,-102.79,292.59,6.7
105,dikson,100,RU,1555787586,88,73.51,80.55,256.007,6.87
106,howick,95,ZA,1555787498,30,-29.48,30.22,293.15,1.6
107,ca mau,51,VN,1555787545,74,9.18,105.15,301.407,1.93
108,atuona,21,PF,1555787587,75,-9.8,-139.03,301.507,5.69
109,gizo,40,IL,1555787581,63,31.8,34.94,290.15,3.6
110,georgetown,75,GY,1555783200,55,6.8,-58.16,305.15,6.2
111,ancud,75,CL,1555783200,76,-41.87,-73.83,284.15,3.1
112,broken hill,100,AU,1555783200,35,-31.97,141.45,294.15,3.1
113,saint-georges,100,CA,1555786889,95,46.12,-70.67,278.71,1.34
114,carlsbad,0,CZ,1555787355,33,50.23,12.87,289.82,2.6
115,koratla,62,IN,1555787589,30,18.82,78.72,307.307,2.89
116,bordighera,0,IT,1555787262,55,43.79,7.66,294.15,6.2
118,tasiilaq,75,GL,1555782600,93,65.61,-37.64,274.15,11.8
119,chokurdakh,0,RU,1555787303,89,70.62,147.9,258.207,3.14
120,sistranda,75,NO,1555787368,71,63.73,8.83,283.15,5.7
121,hillsboro,90,US,1555787262,87,39.2,-83.61,284.82,3.6
123,yarada,0,IN,1555783200,78,17.65,83.27,298.15,1
124,lasa,20,CY,1555785000,62,34.92,32.53,288.15,2.1
125,touros,75,BR,1555783200,88,-5.2,-35.46,300.15,3.6
126,yellowknife,90,CA,1555787565,73,62.45,-114.38,269.15,3.1
127,portland,90,US,1555787348,71,45.52,-122.67,287.59,3.1
128,kenai,20,US,1555787224,64,60.55,-151.26,278.15,4.1
129,bluff,0,AU,1555787591,88,-23.58,149.07,292.807,5.95
130,upernavik,100,GL,1555787591,77,72.79,-56.15,262.307,3.24
132,arraial do cabo,20,BR,1555786800,74,-22.97,-42.02,304.15,5.1
133,dalbandin,3,PK,1555787592,14,28.9,64.41,302.907,2.32
134,vagur,100,FO,1555787592,84,61.47,-6.81,280.907,9.39
135,faya,40,SA,1555783200,77,18.39,42.45,294.15,3.6
136,amot,88,NO,1555786828,43,59.57,7.99,285.37,0.89
137,marystown,100,CA,1555786794,100,47.17,-55.16,280.93,1.66
138,raymond,90,US,1555787585,93,43.04,-71.18,295.37,5.1
139,sinnamary,42,GF,1555787594,78,5.38,-52.96,300.807,7.94
140,progreso,40,UY,1555786883,59,-34.68,-56.22,295.37,4.6
141,barinas,64,VE,1555787595,44,8.64,-70.23,306.207,2.4
142,namatanai,100,PG,1555787595,87,-3.66,152.44,298.107,1.15
143,sanming,1,CN,1555787595,96,26.24,117.6,291.807,0.86
144,the pas,1,CA,1555783200,57,53.82,-101.24,283.15,4.1
145,khilok,0,RU,1555787595,37,51.36,110.46,267.807,1.4
146,marawi,72,PH,1555786823,86,8,124.29,297.59,2.24
147,mazabuka,91,ZM,1555787596,74,-15.86,27.75,293.907,1.56
148,moron,80,VE,1555787596,51,10.49,-68.2,305.307,3.57
149,zwedru,100,LR,1555787596,84,6.07,-8.13,299.607,3.25
150,muncar,100,ID,1555787596,94,-8.43,114.34,296.007,1.13
152,bara,100,NG,1555787597,9,10.41,10.6,306.007,1.09
153,labuhan,98,ID,1555787597,98,-2.54,115.51,296.307,0.66
154,vinzili,0,RU,1555785000,59,56.96,65.77,276.15,2
155,samarai,82,PG,1555787597,91,-10.62,150.67,296.107,1.45
156,ambulu,100,ID,1555787598,79,-8.35,113.61,300.507,3.74
157,geilo,80,NO,1555787588,74,60.53,8.21,275.37,5.36
158,lorengau,65,PG,1555787303,92,-2.02,147.27,298.107,0.91
159,barabai,100,ID,1555787598,99,-2.59,115.38,296.607,0.44
160,lock haven,40,US,1555787593,33,41.14,-77.45,297.04,7.2
161,baie-saint-paul,100,CA,1555786819,99,47.44,-70.51,277.59,2.68
162,manzhouli,1,CN,1555787599,26,49.6,117.43,271.507,1.96
163,lazaro cardenas,75,MX,1555787531,13,28.39,-105.62,301.15,2.6
164,conceicao do araguaia,100,BR,1555787599,56,-8.26,-49.26,305.307,1.73
165,ribe,0,DK,1555787484,46,55.33,8.76,288.15,1.5
167,mikkeli,0,FI,1555787405,48,61.69,27.27,280.15,2.1
168,lokosovo,90,RU,1555787601,86,61.13,74.84,265.107,3.57
169,tomatlan,0,MX,1555787601,57,19.93,-105.25,301.807,3.71
170,lebu,100,ET,1555787601,74,8.96,38.73,290.207,2.06
171,gandajika,69,CD,1555787601,63,-6.75,23.95,298.307,1.13
172,zhanaozen,100,KZ,1555787602,56,43.35,52.85,281.107,5.36
173,ribeira grande,40,PT,1555785000,88,38.52,-28.7,290.15,1
174,adrar,0,DZ,1555783200,7,27.87,-0.29,306.15,7.7
175,henties bay,1,NA,1555786926,91,-22.12,14.28,288.15,1.34
176,vizinga,78,RU,1555787603,90,61.08,50.08,273.607,1.88
177,florence,90,US,1555787557,58,34.8,-87.68,289.26,3.6
178,la ronge,75,CA,1555783200,43,55.1,-105.3,284.15,4.6
179,vila franca do campo,20,PT,1555785000,82,37.72,-25.43,290.15,5.1
180,alice springs,100,AU,1555785000,31,-23.7,133.88,291.15,2.1
181,itarema,100,BR,1555787605,79,-2.92,-39.92,301.507,3.79
182,ixtapa,5,MX,1555787422,57,20.71,-105.21,300.15,4.6
183,lata,100,IN,1555787606,94,30.78,78.62,272.007,1.77
184,bernau,0,AT,1555787596,29,48.05,15.8,290.15,0.5
185,santa marta,20,CO,1555787133,70,11.24,-74.21,305.93,3.1
187,marsh harbour,87,BS,1555787428,70,26.54,-77.06,295.007,5.8
188,muros,0,ES,1555787606,42,42.77,-9.06,296.48,7.7
189,rawson,0,AR,1555787608,28,-43.3,-65.11,293.307,4.28
191,dunmore east,77,IE,1555787575,78,52.15,-6.99,290.93,2.48
192,los llanos de aridane,40,ES,1555786915,68,28.66,-17.92,292.15,6.2
194,east london,0,ZA,1555783200,77,-33.02,27.91,289.15,5.7
195,cardston,90,CA,1555787066,80,49.2,-113.32,280.93,1
196,nata,20,CY,1555786810,62,34.78,32.57,288.15,2.1
197,vanimo,74,PG,1555787610,72,-2.67,141.3,301.207,1.28
198,komsomolskiy,100,RU,1555787610,95,67.55,63.78,271.807,5.66
199,bayir,20,TR,1555786200,32,37.27,28.22,285.15,4.6
200,bambous virieux,75,MU,1555787344,83,-20.34,57.76,299.15,5.7
201,basco,1,US,1555787416,23,40.33,-91.2,292.04,2.1
202,mount isa,0,AU,1555785000,43,-20.73,139.49,295.15,1
203,saint-philippe,90,CA,1555787597,87,45.36,-73.48,280.93,6.2
205,kichera,96,RU,1555787612,90,55.93,110.1,262.307,0.42
206,hvittingfoss,0,NO,1555787602,46,59.48,10.01,287.04,3.6
207,carnarvon,35,ZA,1555787612,17,-30.97,22.13,290.307,3.22
208,kirakira,100,SB,1555787613,84,-10.46,161.92,299.807,1.31
209,byron bay,90,AU,1555786886,100,-28.65,153.62,294.15,2.07
210,constitucion,40,MX,1555786816,10,23.99,-104.67,299.82,2.6
211,isangel,97,VU,1555787614,82,-19.55,169.27,299.707,10
212,alamosa,1,US,1555787301,17,37.47,-105.87,292.15,2.6
213,tsumeb,1,NA,1555787615,26,-19.25,17.72,295.407,2.76
214,matara,75,PE,1555783200,50,-13.74,-72.9,287.15,3.83
215,pavlovka,97,RU,1555787615,47,52.69,47.13,280.107,0.81
216,norman wells,75,CA,1555783200,86,65.28,-126.83,273.15,2.6
217,methoni,75,GR,1555787439,62,36.82,21.7,288.15,8.69
218,olovyannaya,0,RU,1555787616,25,50.94,115.59,271.407,2.23
219,hilo,20,US,1555787480,73,19.71,-155.08,298.15,3.6
220,westport,0,IE,1555787223,77,53.8,-9.52,290.37,2.1
221,nizhniy kuranakh,100,RU,1555787617,94,58.84,125.49,267.107,2.77
222,vostok,90,RU,1555787617,48,46.45,135.83,274.907,2.34
223,opuwo,36,NA,1555787617,32,-18.06,13.84,301.607,2.14
224,dalby,90,AU,1555786557,93,-27.18,151.26,291.15,6.7
225,gat,0,SN,1555785000,60,14.69,-16.54,297.15,8.2
226,wamba,86,CD,1555787618,63,2.14,27.99,299.907,1.27
227,san rafael,6,AR,1555787619,16,-34.61,-68.33,295.307,4.71
228,caarapo,42,BR,1555787619,54,-22.63,-54.82,304.807,1.66
229,haines junction,52,CA,1555787620,50,60.75,-137.51,270.307,4.14
230,katsuura,20,JP,1555787288,82,33.93,134.5,287.04,1.5
231,sarahan,8,IN,1555787620,73,31.51,77.79,281.907,1.6
232,kralendijk,75,BQ,1555782900,66,12.15,-68.27,303.15,11.3
233,dhidhdhoo,100,MV,1555787620,71,6.88,73.1,303.007,5.59
234,luena,89,AO,1555787621,90,-11.78,19.91,291.907,0.38
235,dimitrovgrad,93,RU,1555783200,48,54.22,49.6,278.15,3
237,ipu,98,BR,1555787621,87,-4.32,-40.71,299.707,2.45
238,road town,40,VG,1555787531,58,18.42,-64.62,302.15,5.1
239,victoria,75,BN,1555785000,88,5.28,115.24,300.15,1.5
240,lixourion,0,GR,1555787155,87,38.2,20.43,290.15,2.28
241,bethel,90,US,1555784820,85,60.79,-161.76,270.15,1.5
242,acajutla,65,SV,1555787444,45,13.59,-89.83,301.48,2.68
243,kavaratti,93,IN,1555787623,70,10.57,72.64,302.407,5.46
244,balikpapan,40,ID,1555785000,94,-1.24,116.86,299.15,3.1
245,la seyne-sur-mer,0,FR,1555787616,45,43.1,5.88,293.15,5.1
246,fortuna,75,ES,1555787619,72,38.18,-1.13,289.15,4.6
247,salalah,20,OM,1555782600,74,17.01,54.1,301.15,2.6
248,lafiagi,100,NG,1555787624,34,8.85,5.42,308.907,2.04
249,pevek,100,RU,1555787624,95,69.7,170.27,259.507,4.65
250,nome,1,US,1555787623,28,30.04,-94.42,297.59,2.6
251,talnakh,0,RU,1555783200,76,69.49,88.39,251.15,3
252,marsala,20,IT,1555787523,72,37.8,12.44,290.15,7.7
253,nanortalik,86,GL,1555787625,96,60.14,-45.24,272.807,4.38
254,miles city,75,US,1555787525,55,46.41,-105.84,291.15,4.1
255,dauphin,75,CA,1555783200,36,51.15,-100.04,290.15,3.1
256,biryusinsk,73,RU,1555787626,60,55.96,97.82,270.707,0.83
257,borba,0,PT,1555787445,52,38.81,-7.46,292.59,6.2
258,yadrin,44,RU,1555787626,56,55.94,46.2,279.407,1.65
259,ejido,97,VE,1555787626,60,8.55,-71.24,298.107,1.03
260,sucua,40,EC,1555783200,78,-2.46,-78.17,298.15,2.1
261,makakilo city,75,US,1555787437,65,21.35,-158.09,298.15,3.6
262,elizabeth city,1,US,1555787614,49,36.3,-76.22,295.37,6.15
263,beringovskiy,89,RU,1555787628,81,63.05,179.32,261.807,0.69
264,gravelbourg,100,CA,1555787628,31,49.88,-106.56,285.907,4.43
265,tarakan,86,ID,1555787628,80,3.3,117.63,299.807,0.24
266,coahuayana,0,MX,1555787628,20,18.62,-100.35,311.207,1.9
267,tabou,60,CI,1555787628,76,4.42,-7.36,301.607,2.03
268,palaikastron,34,GR,1555787467,58,35.2,26.25,287.04,2.24
269,dubbo,0,AU,1555785000,88,-32.25,148.6,291.15,5.1
270,kodiak,1,US,1555787608,0,39.95,-94.76,297.15,5.7
271,pochutla,5,MX,1555785991,46,15.74,-96.47,305.93,5.1
272,codrington,90,AU,1555786886,100,-28.95,153.24,294.15,1.08
274,bathsheba,40,BB,1555783200,62,13.22,-59.52,302.15,9.3
275,boksitogorsk,71,RU,1555787630,78,59.47,33.85,276.407,1.77
279,marsa matruh,0,EG,1555787630,68,31.35,27.25,289.607,5.62
280,tuatapere,0,NZ,1555787630,80,-46.13,167.69,285.707,2.85
282,kurilsk,100,RU,1555787630,95,45.23,147.88,273.907,7.02
283,antofagasta,20,CL,1555783200,56,-23.65,-70.4,293.15,5.7
284,richards bay,34,ZA,1555787631,79,-28.77,32.06,298.007,11.98
285,pullman,90,US,1555787627,81,46.73,-117.17,287.59,4.1
286,magadan,98,RU,1555787631,93,59.56,150.8,272.007,1
287,xuddur,84,SO,1555787631,44,4.12,43.89,305.007,2.67
288,slave lake,90,CA,1555783200,65,55.28,-114.77,278.15,5.7
289,hofn,76,IS,1555787631,80,64.25,-15.21,274.007,6.05
291,havoysund,71,NO,1555784400,69,71,24.66,282.15,8.2
292,san patricio,100,PY,1555787632,75,-26.98,-56.83,301.607,0.51
293,gornyy,11,RU,1555787632,34,51.76,48.54,281.107,0.73
294,payo,100,ID,1555787633,94,-3.75,103.64,294.707,0.77
295,imbituba,0,BR,1555783200,69,-28.24,-48.67,299.15,3.1
296,ilebo,79,CD,1555787633,56,-4.33,20.59,301.107,0.29
297,faanui,42,PF,1555787634,75,-16.48,-151.75,301.807,3.17
299,mandalgovi,32,MN,1555787634,35,45.76,106.27,279.607,3.77
300,kelso,90,US,1555787630,71,46.14,-122.91,288.15,2.6
301,narsaq,75,GL,1555786200,44,60.91,-46.05,278.15,3.1
302,ilo,0,PE,1555783200,69,-17.65,-71.34,296.15,4.1
303,riyadh,0,SA,1555783200,23,24.63,46.72,301.15,7.2
304,zhigansk,100,RU,1555787635,80,66.77,123.37,266.207,1.99
305,avera,90,US,1555787634,66,33.19,-82.53,286.15,5.1
306,ajaccio,0,FR,1555786800,63,41.93,8.74,291.15,1.5
